@id,@lon,@lat,name,description
2293459428,21.3756601,41.462194,Атанавчица,765
2306750013,21.4783382,41.2818865,Омец,718
2309890787,21.4852707,41.2776623,,639
2319596654,21.2887416,41.4465803,Тумба,636
2319892063,21.3103195,41.3783658,Уши,849
2328116830,22.3815398,42.3051885,Остра Чука,1213
2378946510,22.352891,42.3169466,Шупли камен,1404
2378946575,22.2956016,42.3730365,Аниште,1786
2432813768,20.6260793,41.8185435,Прозаба,1898
2458139336,20.5607348,41.8695398,,2116
2473099773,21.1721654,41.8216002,Куклаица,515
2557496600,23.0332062,41.7205933,Ченгино Кале,1844
2561596710,22.3290993,42.0473883,Панџур,1669
2590602216,20.5465802,41.7913532,Голем Кораб,2764
2618005359,20.8456693,41.0661435,Врв Три Мажи,1625
2632368227,21.8552292,41.0137366,Сокол,1822
2634251169,20.8205661,40.9332094,Магаро,2255
3172412237,22.7797809,41.3273603,Троица,1474
3209120917,22.1706213,41.1540057,Δοκάρι,
3330087962,22.7531578,41.2879005,Арап Ерек,
3331621159,21.3028512,41.3888512,Кале,909
3337490315,21.319645,41.3518306,Градиште,748
3337490316,21.3297301,41.3519115,Рид,663
3605469981,22.0118585,41.7649664,Свети Јовански рид (755),755
3605469993,22.0342981,41.7590372,Тиски Врв,747
3649234308,21.7769746,41.9253366,Венец,853
3650449640,21.038168,41.7227593,Лимуње,1840
3650449641,21.0282524,41.7476073,Трновски Рид,1626
3650449642,21.0393997,41.7019439,Цветковско Рамниште,1722
3650449643,21.0074985,41.7101043,Кралевица,1239
3650611429,20.8158621,41.6457825,Сандакташ,2011
3755662774,20.9659367,42.1051176,Плоча,2467
3922197788,20.8454506,42.0092806,Антени,2531
3964610973,21.4100975,41.9635418,Орашец,941
4094949685,21.4746659,41.2515164,Кара Камен,737
4151269302,21.8043508,41.1367873,Пантеле,1344
4170172896,21.2069218,40.8838317,Балтан,2119
4171974302,20.862981,41.1365851,Греда,1433
